id;cal_date;duration;remarks
1;2020-08-23T14:44:49;Afternoon1600;Games Fresh
2;2020-08-23T20:56:36;Morning1000;Technician Uruguay Health
3;2020-08-23T15:21:47;Afternoon1400;Mill
4;2020-08-23T08:20:53;Afternoon1400;Station
5;2020-08-23T18:40:47;Morning1000;Village New York
6;2020-08-23T12:40:05;Afternoon1600;matrix Cross-group
7;2020-08-23T11:50:21;Afternoon1400;Sports yellow Berkshire
8;2020-08-23T10:22:50;Afternoon1600;SSL
9;2020-08-23T06:32:03;Afternoon1600;Keyboard
10;2020-08-23T23:23:45;Morning0800;Wooden Tennessee Money Market Account
