id;txn_type;amount;total_amount_to_mentor;issued_time;remarks
1;PAID;35108;44899;2020-08-23T19:52:19;payment drive payment
2;CANCELLED;18840;13511;2020-08-23T13:36:22;infrastructure COM Clothing
3;PAID;28616;90511;2020-08-24T00:00:08;Practical Metal Sausages Harbors circuit
4;CANCELLED;12792;90524;2020-08-23T07:38:20;Incredible Fresh Table
5;ISSUED;13246;64482;2020-08-23T21:54:19;Licensed deposit
6;PAID;49249;60166;2020-08-23T13:16:50;Direct
7;ISSUED;38734;86245;2020-08-23T18:38:04;RAM lavender
8;CANCELLED;77991;8151;2020-08-23T22:12:04;Towels navigate
9;ISSUED;64984;24643;2020-08-23T14:56:30;Object-based
10;CANCELLED;54470;93409;2020-08-24T02:42:21;online Buckinghamshire purple
