id;status;name;commission_amount;avg_rating;start_date;end_date;remarks
1;Active;Associate Assurance info-mediaries;12366;20282;2020-08-24T05:33:32;2020-08-24T01:16:05;Gloves Baby
2;Active;Garden;40409;84713;2020-08-23T20:34:20;2020-08-23T08:07:14;hack deposit Regional
3;Active;Vermont quantifying;55760;19536;2020-08-24T00:13:58;2020-08-24T00:36:46;eco-centric innovative installation
4;Active;Home Bedfordshire;298;3502;2020-08-24T02:09:46;2020-08-23T17:25:31;magenta revolutionize
5;Inactive;District;48714;83828;2020-08-23T08:10:16;2020-08-24T03:07:41;migration Licensed Balboa US Dollar
6;Active;invoice withdrawal Money Market Account;16297;29603;2020-08-23T15:56:31;2020-08-23T11:03:17;Customer Buckinghamshire
7;Active;Bedfordshire;60763;77323;2020-08-24T05:04:45;2020-08-24T04:58:38;bandwidth Consultant Rhode Island
8;Active;intuitive calculating;79519;97570;2020-08-23T15:05:56;2020-08-23T23:00:58;indexing Multi-lateral Danish Krone
9;Inactive;New Caledonia Bedfordshire;98305;76535;2020-08-23T14:52:18;2020-08-23T23:28:50;USB Connecticut
10;Active;Jewelery Coordinator ubiquitous;62796;75795;2020-08-23T20:17:38;2020-08-24T00:20:58;applications online hacking
